Reported Area,System Condition,Time In,Time Out
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",01/03/2018 4:00:00 PM,01/09/2018 12:00:00 PM
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",03/07/2018 9:00:00 AM,03/09/2018 9:00:00 PM
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",03/12/2018 2:00:00 PM,03/15/2018 12:00:00 PM
NSTAR,"M/LCC 2, Abnormal Conditions",03/15/2018 12:00:00 PM,03/16/2018 4:00:00 PM
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",03/20/2018 4:00:00 PM,03/22/2018 12:00:00 PM
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",07/12/2018 7:55:00 PM,07/13/2018 1:00:00 AM
NEW ENGLAND,"M/LCC 2, Abnormal Conditions",09/03/2018 3:15:00 PM,09/03/2018 9:00:00 PM
NEW ENGLAND,OP4 Action 2,09/03/2018 3:30:00 PM,09/03/2018 8:00:00 PM
NEW ENGLAND,"OP4 Action 1, Power Caution",09/03/2018 3:30:00 PM,09/03/2018 8:00:00 PM
NEW ENGLAND,OP4 Action 5,09/03/2018 4:00:00 PM,09/03/2018 7:00:00 PM
NEW ENGLAND,"OP4 Action 4, Power Watch",09/03/2018 4:00:00 PM,09/03/2018 7:00:00 PM
NEW ENGLAND,OP4 Action 3,09/03/2018 4:00:00 PM,09/03/2018 7:00:00 PM
